Request,Time
450,0.642576
451,0.638341
452,0.633795
453,0.640225
454,0.639608
455,0.632788
456,0.633639
457,0.633137
458,0.634364
459,0.639749
460,0.637379
461,0.646249
462,0.637807
463,0.645027
464,0.644166
465,0.641827
466,0.640507
467,0.645943
468,0.633979
469,0.646537
470,0.636520
471,0.632137
472,0.633618
473,0.632970
474,0.644858
475,0.633236
476,0.633818
477,0.632456
478,0.634350
479,0.636732
480,0.633476
481,0.636223
482,0.633755
483,0.644420
484,0.636768
485,0.645897
486,0.646803
487,0.646022
488,0.638988
489,0.634425
490,0.633751
491,0.634590
492,0.669519
493,0.635045
494,0.631860
495,0.639815
496,0.635634
497,0.633459
498,0.633375
499,0.634170
